11:50:05  Acquired tunnel connection to device.
18928   /System/Library/PrivateFrameworks/AppPredictionFoundation.framework/XPCServices/AppPredictionIntentsHelperService.xpc/AppPredictionIntentsHelperService
18929   /System/Library/PrivateFrameworks/ActionPredictionHeuristics.framework/XPCServices/HeuristicInterpreter.xpc/HeuristicInterpreter
18976   /usr/libexec/heartbeatd
18984   /usr/libexec/captiveagent
18987   /usr/libexec/nesessionmanager
19008   /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
19010   /System/Library/Frameworks/FileProvider.framework/Support/fileproviderd
19019   /System/Library/PrivateFrameworks/CloudDocs.framework/PlugIns/com.apple.CloudDocs.iCloudDriveFileProvider.appex/com.apple.CloudDocs.iCloudDriveFileProvider
19041   /usr/libexec/findmybeaconingd
19044   /System/Library/PrivateFrameworks/FamilyCircle.framework/familycircled
19048   /System/Library/PrivateFrameworks/OnDeviceStorage.framework/Support/amsondevicestoraged
19060   /System/Library/Frameworks/ExtensionFoundation.framework/XPCServices/extensionkitservice.xpc/extensionkitservice
19083   /System/Library/PrivateFrameworks/FontServices.framework/Support/fontservicesd
19138   /System/Library/PrivateFrameworks/MobileTimer.framework/Executables/mobiletimerd
19230   /usr/libexec/PurpleReverseProxy
19245   /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/IMDPersistenceAgent
19319   /private/var/containers/Bundle/Application/15B9F41E-FD2E-4F76-8B5E-C28F3717A718/Weather.app/PlugIns/WeatherWidget.appex/WeatherWidget
19463   /System/Library/PrivateFrameworks/PowerLog.framework/XPCServices/PerfPowerTelemetryClientRegistrationService.xpc/PerfPowerTelemetryClientRegistrationService
19475   /usr/libexec/gamed
19480   /System/Library/PrivateFrameworks/CoreRecents.framework/recentsd
19488   /System/Library/Frameworks/Contacts.framework/Support/postersyncd
19635   /usr/libexec/fmflocatord
19815   /System/Library/PrivateFrameworks/PhotoAnalysis.framework/Support/photoanalysisd
20011   /private/var/containers/Bundle/Application/6F04A7E2-0C62-49E1-9D82-F1E149A35823/AMapiPhone.app/AMapiPhone
20186   /usr/libexec/locationd
20188   /usr/libexec/gpsd
20275   /System/Library/PrivateFrameworks/ActivitySharingServices.framework/activitysharingd
20276   /usr/libexec/online-auth-agent
20277   /usr/libexec/seputil
20283   /System/Library/PrivateFrameworks/Categories.framework/XPCServices/CategoriesService.xpc/CategoriesService
20293   /System/Library/PrivateFrameworks/MediaAnalysis.framework/mediaanalysisd
20295   /System/Library/PrivateFrameworks/PrivacyAccounting.framework/Versions/A/Resources/privacyaccountingd
20298   /System/Library/PrivateFrameworks/IntlPreferences.framework/Support/localizationswitcherd
20303   /System/Library/PrivateFrameworks/CascadeSets.framework/XPCServices/SetStoreUpdateService.xpc/SetStoreUpdateService
20304   /usr/libexec/siriknowledged
20305   /System/Library/Frameworks/FinanceKit.framework/financed
20307   /System/Library/PrivateFrameworks/CascadeSets.framework/XPCServices/SetStoreUpdateService.xpc/SetStoreUpdateService
20309   /usr/libexec/keybagd
20313   /System/Library/PrivateFrameworks/FitnessCoachingServices.framework/fitnesscoachingd
20314   /System/Library/PrivateFrameworks/AppleCredentialManager.framework/AppleCredentialManagerDaemon
20318   /System/Library/CoreServices/osanalyticshelper
20326   /System/Library/PrivateFrameworks/MapsSuggestions.framework/destinationd
20368   /System/Library/Frameworks/AdAttributionKit.framework/Support/attributionkitd
20370   /usr/libexec/managedassetsd
20371   /System/Library/PrivateFrameworks/UsageTracking.framework/UsageTrackingAgent
20372   /usr/libexec/mlhostd
20380   /System/Library/Frameworks/Metal.framework/XPCServices/MTLCompilerService.xpc/MTLCompilerService
20384   /usr/libexec/mmaintenanced
20395   /System/Library/Frameworks/ExtensionFoundation.framework/XPCServices/extensionkitservice.xpc/extensionkitservice
20426   /System/Library/CoreServices/ReportCrash
20427   /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
20428   /System/Library/CoreServices/diagnosticservicesd
20431   /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Support/softwareupdated
20437   /private/var/containers/Bundle/Application/F9BAC972-147C-437F-A043-034CB300C9E8/Photos.app/PlugIns/PhotosReliveWidget.appex/PhotosReliveWidget
20444   /usr/libexec/carkitd
20446   /System/Library/PrivateFrameworks/CommunicationTrust.framework/Support/communicationtrustd
